market_name,ward_or_zone,livelihood_zone,county
Ewuaso Kedong,Ewuaso,Pastoral,Kajiado
Kaputiei North,Kaputiei North,Agro-Pastoral,Kajiado
Mbirikani,Mbirikani,Pastoral,Kajiado
Dalalekutuk,Dalalekutuk,Agro-Pastoral,Kajiado
Loodokilani,Loodokilani,Pastoral,Kajiado
Rombo,Rombo,Mixed Farming,Kajiado
Loitoktok,Loitoktok,Mixed Farming,Kajiado
Mosiro,Mosiro,Pastoral,Kajiado
Oldonyonyokie,Oldonyonyokie,Pastoral,Kajiado
Isinya,Isinya,Agro-Pastoral,Kajiado
Kimana,Kimana,Pastoral,Kajiado
Kiserian,Kiserian,Mixed Farming,Kajiado
Dagoretti Market,Nairobi,Destination Abattoir,Nairobi
KMC Athi River,Machakos,Destination Abattoir,Machakos
